noise_level,informative_level,num_features_level,rf_mae,gb_mae,dnn_mae,err_rf_pi,err_gb_pi,err_dnn_pi,err_rf_sv,err_gb_sv,err_dnn_sv,err_dnn_ig,err_mean,err_median,err_mode,err_box,err_tau,err_major,err_kendall,err_spearman
4,75,60,243.95672348654483,231.63813300624852,121.59538069373986,0.3066154333668641,0.21750532734014769,0.3760025463960532,0.292347569600356,0.25045730630412927,0.12125539581539012,0.3120308740654792,0.20950252886383336,0.2509321585982699,0.20950249027439025,0.20653714346363924,0.1986180397713838,0.2768083334739074,0.23868554085381616,0.23868554085381616
4,75,100,327.27448835566855,312.38200056060225,162.10722667553966,0.27303405974115796,0.267747161322758,0.33255597039895535,0.25746808302945856,0.2487168520469831,0.21894454870791505,0.2506008413567088,0.21079791337473278,0.21610345636913736,0.21079790545099356,0.20413236268232515,0.21674004382278522,0.22846262193393163,0.2123040033074304,0.2123040033074304
4,100,20,105.29267786948542,94.691002089963,44.09774862715429,0.2837751915908756,0.23177718907489592,0.22186828262051628,0.23308662605320177,0.18849234565418901,0.032077714889002865,0.2607340791855265,0.10352905173599772,0.2122190581474103,0.10352905841544432,0.11373747405482489,0.13004065157312358,0.1832198590914927,0.19312796739917343,0.19312796739917343
4,100,60,255.89495735555448,244.44507041193762,90.86775817995203,0.3087669475548662,0.2524084423861161,0.3292461051039755,0.3351759969508009,0.295463821452637,0.18650823131373928,0.25242374959811564,0.2111653675054934,0.2679034127690249,0.21116536854323423,0.24760102327906366,0.2589175465446032,0.3163346649012212,0.24023394340777468,0.24023394340777468
4,100,100,366.24082736904427,379.8093111605475,205.56083650126268,0.40613087860086866,0.271104157102786,0.3346601892522186,0.365577544656752,0.3493530228025823,0.17562780412570564,0.3485001959439549,0.26236682111487936,0.3200484089011075,0.2623668218584774,0.2746067841326268,0.2516644213047094,0.3630111355436408,0.3086427179786281,0.3086427179786281
8,25,20,36.628977348890096,32.382374402497625,34.32978939173601,0.029178092922665922,0.031001238715010947,0.3173068109598961,0.02500825425616125,0.01588183311505726,0.010077967652054539,0.22723108594211977,0.0734736958904242,0.025578263003055456,0.07347365917040857,0.03931498249502219,0.025017744031554334,0.08779939085547686,0.0193947463388592,0.0193947463388592
8,25,60,73.43812518437343,65.04166551088986,54.83840832342533,0.051446817075176995,0.05295692016667725,0.13765062835045075,0.04032485198059588,0.03551556342555929,0.016996712660351417,0.1419435343282581,0.0522036041135873,0.04509852731059097,0.05220362056357463,0.038612721880596626,0.042059244278598466,0.047410248084920864,0.037544503385720476,0.037544503385720476
8,25,100,139.68687297477402,133.39804513883723,96.55025957375166,0.07712533945475838,0.08209927822245597,0.18544881376672961,0.072991185817731,0.06696280815371092,0.0946358195869292,0.1738650686270468,0.08631880645928161,0.08077096042146628,0.08631881336970298,0.07649046589682247,0.07919323105198729,0.07289950975603932,0.07757956480509434,0.07757956480509434
8,50,20,49.48747612098011,46.53173455394456,51.491103617768225,0.06285297329067599,0.06113353716507317,0.33483716929087903,0.0546707161551069,0.04340680203505285,0.031302915048479305,0.3048520795719839,0.08388538201532858,0.05256640499637068,0.08388537780172875,0.05255062955800712,0.04521385540780625,0.08393056707471905,0.04418609341450887,0.04418609341450887
8,50,60,201.1026095966615,172.25118845924456,91.8741397425286,0.1872225046483349,0.17206194762207516,0.31619808379895514,0.15410905405690495,0.1304875542667043,0.08762368146580891,0.27632522739219545,0.14540459186710414,0.1647869374632508,0.14540458538446482,0.15806188863273216,0.1664581135034724,0.15209312387518262,0.1383431045828896,0.1383431045828896
8,50,100,284.40720454200977,260.56474540614704,137.40587145814823,0.20083719722337953,0.20645039129835957,0.3071893910053557,0.21289597372513247,0.19016863348419608,0.1852648381849802,0.2186547167770669,0.17323018033197568,0.18839233308206402,0.17323017131494425,0.1831801559317338,0.18689497948907363,0.20389386277618232,0.16834533984209785,0.16834533984209785
8,75,20,82.82953009760928,75.21218335957623,48.01735531637807,0.1917472603691294,0.16732925568175588,0.34030532842751254,0.16144724553887096,0.1243756503693575,0.024501168522222096,0.3385058379223729,0.12441471319207013,0.15086619968024795,0.12441469550683273,0.12489973146030016,0.14009380949525851,0.13435285482297435,0.12543547637775782,0.12543547637775782
8,75,60,241.8923873160936,235.35166707660596,102.30354553979785,0.3079882593912338,0.23569828584650096,0.3936512337876138,0.29511087679349884,0.2493709655227808,0.11040131703266853,0.3116564440968345,0.21319112993908595,0.26612366502383833,0.2131911191295451,0.21613019146798954,0.2263495877071036,0.27121610709184196,0.24858539289470843,0.24858539289470843
8,75,100,347.39729047961345,337.83514500988275,178.07809864930613,0.28794630569929675,0.27469337233705365,0.3645341615959436,0.28193039403744913,0.2568213833009287,0.2028298931928586,0.2753435826687521,0.2575092530379203,0.2797622847351895,0.22100121512429896,0.2647812966300622,0.2677141556908056,0.25331009039248714,0.2485456354530172,0.2485456354530172
8,100,20,100.37269921685254,91.6203334225207,58.169855455988824,0.19639576720659785,0.17106062548525985,0.41141765175650635,0.1619951337684323,0.12370728182906694,0.08389504147229113,0.2941874157108755,0.09358499057544523,0.15541321399761512,0.0935850644290499,0.09584415975484036,0.09751373692651102,0.1504790611833008,0.1337409362388912,0.1337409362388912
8,100,60,294.7373498358691,272.3515763652374,114.28448612438798,0.35316359777986167,0.26683090704385354,0.32143977316245936,0.3165474028798173,0.2802812771933471,0.1820840711456882,0.4166137808068787,0.24835828785222513,0.28062600475345456,0.24835829275594115,0.2854640121338127,0.27797875347374607,0.30425199060518787,0.27378516709012735,0.27378516709012735
8,100,100,419.52392867869827,392.57225682671265,206.74925763095388,0.3159760020712546,0.26135202626442183,0.3691857689354274,0.3262253142124,0.30517582479611016,0.21641551134696743,0.26072297847367,0.24561214593451786,0.2866034231828597,0.24561213826403122,0.2707564172537116,0.27654381286807256,0.3026314554084804,0.2781083714805519,0.2781083714805519
